backend,embedding,time
JOHANNESBURG,0,1.0271928310394287
JOHANNESBURG,1,0.8410279750823975
JOHANNESBURG,2,0.9084768295288086
JOHANNESBURG,3,0.7317769527435303
JOHANNESBURG,4,0.7098259925842285
JOHANNESBURG,5,0.7110259532928467
JOHANNESBURG,6,0.7314538955688477
JOHANNESBURG,7,0.7557003498077393
JOHANNESBURG,8,0.7512457370758057
JOHANNESBURG,9,0.7374711036682129
JOHANNESBURG,10,0.7345468997955322
JOHANNESBURG,11,0.7572181224822998
JOHANNESBURG,12,0.7637050151824951
JOHANNESBURG,13,0.7352261543273926
JOHANNESBURG,14,0.743873119354248
JOHANNESBURG,15,0.7433919906616211
JOHANNESBURG,16,0.7530407905578613
JOHANNESBURG,17,0.7604269981384277
JOHANNESBURG,18,0.7756319046020508
JOHANNESBURG,19,0.7744309902191162
JOHANNESBURG,20,0.7776608467102051
JOHANNESBURG,21,0.7932400703430176
JOHANNESBURG,22,0.7608411312103271
JOHANNESBURG,23,0.7745208740234375
JOHANNESBURG,24,0.7787249088287354
JOHANNESBURG,25,0.773939847946167
JOHANNESBURG,26,0.7637081146240234
JOHANNESBURG,27,0.7970719337463379
JOHANNESBURG,28,0.8034110069274902
JOHANNESBURG,29,0.7945938110351562
JOHANNESBURG,30,0.7976250648498535
JOHANNESBURG,31,0.8284599781036377
ALMADEN,0,0.7796890735626221
ALMADEN,1,0.7742900848388672
ALMADEN,2,0.7198660373687744
ALMADEN,3,0.7354140281677246
ALMADEN,4,0.7281069755554199
ALMADEN,5,0.7266640663146973
ALMADEN,6,0.709557056427002
ALMADEN,7,0.7274081707000732
ALMADEN,8,0.9286947250366211
ALMADEN,9,0.8585681915283203
ALMADEN,10,0.7702929973602295
ALMADEN,11,0.8958702087402344
ALMADEN,12,0.8122990131378174
ALMADEN,13,0.7774178981781006
ALMADEN,14,0.8195841312408447
ALMADEN,15,0.7666890621185303
ALMADEN,16,0.7508788108825684
ALMADEN,17,0.772536039352417
ALMADEN,18,0.7749862670898438
ALMADEN,19,0.7670202255249023
ALMADEN,20,0.7982010841369629
ALMADEN,21,0.7676968574523926
ALMADEN,22,0.7888410091400146
ALMADEN,23,0.7846710681915283
ALMADEN,24,0.7820291519165039
ALMADEN,25,0.7952988147735596
ALMADEN,26,0.7936980724334717
ALMADEN,27,0.8039672374725342
ALMADEN,28,0.7704770565032959
ALMADEN,29,0.8110859394073486
ALMADEN,30,0.8268959522247314
ALMADEN,31,0.8148260116577148
ALMADEN,32,0.8139400482177734
ALMADEN,33,0.8014430999755859
ALMADEN,34,0.9036469459533691
ALMADEN,35,0.8127949237823486
BOEBLINGEN,0,0.6928260326385498
BOEBLINGEN,1,0.7329459190368652
BOEBLINGEN,2,0.7270798683166504
BOEBLINGEN,3,0.7488839626312256
BOEBLINGEN,4,0.725039005279541
BOEBLINGEN,5,0.736138105392456
BOEBLINGEN,6,0.7083098888397217
BOEBLINGEN,7,0.7222051620483398
BOEBLINGEN,8,0.732234001159668
BOEBLINGEN,9,0.7272200584411621
BOEBLINGEN,10,0.783271074295044
BOEBLINGEN,11,0.7537841796875
BOEBLINGEN,12,0.7434229850769043
BOEBLINGEN,13,0.7550070285797119
BOEBLINGEN,14,0.7336838245391846
BOEBLINGEN,15,0.7545731067657471
BOEBLINGEN,16,0.7524762153625488
BOEBLINGEN,17,0.7537257671356201
BOEBLINGEN,18,0.7566819190979004
BOEBLINGEN,19,0.7688050270080566
BOEBLINGEN,20,0.7698817253112793
BOEBLINGEN,21,0.762692928314209
BOEBLINGEN,22,0.7625958919525146
BOEBLINGEN,23,0.774280309677124
BOEBLINGEN,24,0.7721531391143799
BOEBLINGEN,25,0.7802069187164307
BOEBLINGEN,26,0.7788312435150146
BOEBLINGEN,27,0.7903718948364258
BOEBLINGEN,28,0.7711639404296875
BOEBLINGEN,29,0.7814779281616211
BOEBLINGEN,30,0.8050899505615234
BOEBLINGEN,31,0.8039939403533936
BOEBLINGEN,32,0.85978102684021
BOEBLINGEN,33,0.7851290702819824
BOEBLINGEN,34,0.808772087097168
BOEBLINGEN,35,0.8124887943267822
POUGHKEEPSIE,0,0.7069740295410156
POUGHKEEPSIE,1,0.7131850719451904
POUGHKEEPSIE,2,0.7196288108825684
POUGHKEEPSIE,3,0.7346100807189941
POUGHKEEPSIE,4,0.7048823833465576
POUGHKEEPSIE,5,0.704113245010376
POUGHKEEPSIE,6,0.7549879550933838
POUGHKEEPSIE,7,0.7319478988647461
POUGHKEEPSIE,8,0.760469913482666
POUGHKEEPSIE,9,0.7198421955108643
POUGHKEEPSIE,10,0.7434971332550049
POUGHKEEPSIE,11,0.7480559349060059
POUGHKEEPSIE,12,0.7705609798431396
POUGHKEEPSIE,13,0.7233421802520752
POUGHKEEPSIE,14,0.752000093460083
POUGHKEEPSIE,15,0.734011173248291
POUGHKEEPSIE,16,0.7605099678039551
POUGHKEEPSIE,17,0.7535390853881836
POUGHKEEPSIE,18,0.7643442153930664
POUGHKEEPSIE,19,0.756397008895874
POUGHKEEPSIE,20,0.7752261161804199
POUGHKEEPSIE,21,0.7877781391143799
POUGHKEEPSIE,22,0.7679078578948975
POUGHKEEPSIE,23,0.775468111038208
POUGHKEEPSIE,24,0.8309309482574463
POUGHKEEPSIE,25,0.8246901035308838
POUGHKEEPSIE,26,0.800029993057251
POUGHKEEPSIE,27,0.861548900604248
POUGHKEEPSIE,28,0.8952229022979736
