backend,embedding,time
JOHANNESBURG,0,0.807826042175293
JOHANNESBURG,1,0.7863030433654785
JOHANNESBURG,2,0.8219079971313477
ALMADEN,0,0.7599732875823975
ALMADEN,1,0.767927885055542
ALMADEN,2,0.8000180721282959
BOEBLINGEN,0,0.7242729663848877
BOEBLINGEN,1,0.7274103164672852
BOEBLINGEN,2,0.7422728538513184
POUGHKEEPSIE,0,0.730942964553833
POUGHKEEPSIE,1,0.7514979839324951
POUGHKEEPSIE,2,0.7766330242156982
SINGAPORE,0,0.7481698989868164
SINGAPORE,1,0.7270488739013672
SINGAPORE,2,0.7739300727844238
TOKYO,0,0.714493989944458
TOKYO,1,1.278918743133545
TOKYO,2,0.754011869430542
