hardware,embedding,horizon,lambda,time
fake_brooklyn,0,3,0.92846394586789229100000000000000000000000000000000000000000000000000000000000000,14
fake_brooklyn,0,4,0.92846394586789229100000000000000000000000000000000000000000000000000000000000000,122
fake_brooklyn,1,3,0.94008477429317536800000000000000000000000000000000000000000000000000000000000000,15
fake_brooklyn,1,4,0.94008477429317536800000000000000000000000000000000000000000000000000000000000000,122
fake_brooklyn,2,3,0.90487899679767357000000000000000000000000000000000000000000000000000000000000000,14
fake_brooklyn,2,4,0.90487899679767357000000000000000000000000000000000000000000000000000000000000000,122
fake_manhattan,0,3,0.19693864980822294000000000000000000000000000000000000000000000000000000000000000,14
fake_manhattan,0,4,0.24806413412362686186638500000000000000000000000000000000000000000000000000000000,122
fake_manhattan,1,3,0.19844061582126551600000000000000000000000000000000000000000000000000000000000000,14
fake_manhattan,1,4,0.25063387638649026154778900000000000000000000000000000000000000000000000000000000,122
fake_manhattan,2,3,0.11999851556231118200000000000000000000000000000000000000000000000000000000000000,15
fake_manhattan,2,4,0.12592624562920738283695600000000000000000000000000000000000000000000000000000000,122
