hardware,my_guarantee,ibm_simulated,diff
fake_tenerife,0.923,0.876,0.047
fake_athens,0.979,0.98,-0.001
fake_belem,0.973,0.964,0.009
fake_bogota,0.971,0.904,0.067
fake_burlington,0.966,0.964,0.002
fake_essex,0.969,0.956,0.013
fake_lima,0.985,0.99,-0.005
fake_london,0.981,0.985,-0.004
fake_manila,0.982,0.981,0.001
fake_ourense,0.986,0.981,0.005
fake_quito,0.942,0.938,0.004
fake_rome,0.982,0.975,0.007
fake_santiago,0.988,0.989,-0.001
fake_vigo,0.983,0.977,0.006
fake_yorktown,0.964,0.956,0.008
fake_johannesburg,0.965,0.94,0.025
fake_almaden,0.973,0.944,0.029
fake_boeblingen,0.982,0.974,0.008
fake_poughkeepsie,0.973,0.973,0.0
fake_singapore,0.98,0.966,0.014
fake_tokyo,0.962,0.963,-0.001
fake_perth,0.984,0.97,0.014
fake_lagos,0.988,0.984,0.004
fake_nairobi,0.985,0.985,0.0
fake_casablanca,0.979,0.962,0.017
fake_oslo,0.984,0.982,0.002
fake_jakarta,0.979,0.977,0.002
fake_hanoi,0.99,0.988,0.002
fake_cairo,0.989,0.934,0.055
fake_mumbai,0.989,0.965,0.024
fake_kolkata,0.988,0.971,0.017
fake_auckland,0.99,0.979,0.011
fake_geneva,0.99,0.982,0.008
fake_montreal,0.986,0.979,0.007
fake_paris,0.983,0.977,0.006
fake_sydney,0.986,0.804,0.182
fake_toronto,0.985,0.987,-0.002
fake_brooklyn,0.984,0.956,0.028
fake_manhattan,0.981,0.061,0.92
fake_cambridge,0.957,0.932,0.025
fake_guadalupe,0.985,0.983,0.002
fake_melbourne,0.965,0.933,0.032
fake_rochester,0.947,0.071,0.876
fake_washington,0.987,0.934,0.053
