hardware,my_guarantee,ibm_simulated,diff
Manhattan,0.981,0.062,0.919
Rochester,0.947,0.069,0.878
Cambridge,0.957,0.129,0.828
Sydney,0.986,0.814,0.172
Toronto,0.985,0.865,0.12
Bogota,0.971,0.896,0.075
Johannesburg,0.965,0.92,0.045
Washington,0.987,0.945,0.042
Melbourne,0.965,0.938,0.027
Paris,0.983,0.958,0.025
Geneva,0.99,0.968,0.022
Poughkeepsie,0.973,0.954,0.019
Guadalupe,0.985,0.968,0.017
Casablanca,0.979,0.966,0.013
Lagos,0.988,0.976,0.012
Yorktown,0.964,0.954,0.01
Singapore,0.98,0.97,0.01
Kolkata,0.988,0.979,0.009
Tenerife,0.923,0.915,0.008
Vigo,0.983,0.975,0.008
Cairo,0.989,0.982,0.007
Belem,0.973,0.967,0.006
Tokyo,0.962,0.956,0.006
Auckland,0.99,0.984,0.006
Essex,0.969,0.964,0.005
Hanoi,0.99,0.986,0.004
Nairobi,0.985,0.981,0.004
Manila,0.982,0.978,0.004
Santiago,0.988,0.985,0.003
Brooklyn,0.984,0.981,0.003
Boeblingen,0.982,0.979,0.003
Montreal,0.986,0.984,0.002
Oslo,0.984,0.982,0.002
Mumbai,0.989,0.987,0.002
Jakarta,0.979,0.978,0.001
Lima,0.985,0.985,0.0
Rome,0.982,0.983,-0.001
Ourense,0.986,0.987,-0.001
Almaden,0.973,0.974,-0.001
Burlington,0.966,0.967,-0.001
Athens,0.979,0.981,-0.002
Perth,0.984,0.987,-0.003
London,0.981,0.988,-0.007
Quito,0.942,0.951,-0.009
