hardware_spec,embedding_index,horizon,my_guarantee,baseline_guarantee,diff,best_baseline,diff_best
fake_johannesburg,0,3,0.922,0.811,0.11099999999999999,0.811,0.11099999999999999
fake_johannesburg,1,3,0.898,0.765,0.133,0.765,0.133
fake_johannesburg,2,3,0.929,0.823,0.1060000000000001,0.823,0.1060000000000001
fake_almaden,0,3,0.907,0.797,0.10999999999999999,0.797,0.10999999999999999
fake_almaden,1,3,0.853,0.678,0.17499999999999993,0.678,0.17499999999999993
fake_almaden,2,3,0.914,0.79,0.124,0.79,0.124
fake_boeblingen,0,3,0.943,0.872,0.07099999999999995,0.872,0.07099999999999995
fake_boeblingen,1,3,0.96,0.891,0.06899999999999995,0.891,0.06899999999999995
fake_boeblingen,2,3,0.959,0.903,0.05599999999999994,0.903,0.05599999999999994
fake_poughkeepsie,0,3,0.904,0.787,0.11699999999999999,0.787,0.11699999999999999
fake_poughkeepsie,1,3,0.845,0.659,0.18599999999999994,0.659,0.18599999999999994
fake_poughkeepsie,2,3,0.883,0.73,0.15300000000000002,0.73,0.15300000000000002
fake_singapore,0,3,0.956,0.893,0.06299999999999994,0.893,0.06299999999999994
fake_singapore,1,3,0.949,0.88,0.06899999999999995,0.88,0.06899999999999995
fake_singapore,2,3,0.958,0.894,0.06399999999999995,0.894,0.06399999999999995
fake_tokyo,0,3,0.89,0.722,0.16800000000000004,0.722,0.16800000000000004
fake_tokyo,1,3,0.923,0.898,0.025000000000000022,0.898,0.025000000000000022
fake_tokyo,2,3,0.905,0.778,0.127,0.778,0.127
fake_hanoi,0,3,0.968,0.895,0.07299999999999995,0.895,0.07299999999999995
fake_hanoi,1,3,0.966,0.906,0.05999999999999994,0.906,0.05999999999999994
fake_hanoi,2,3,0.957,0.886,0.07099999999999995,0.886,0.07099999999999995
fake_cairo,0,3,0.94,0.855,0.08499999999999996,0.855,0.08499999999999996
fake_cairo,1,3,0.931,0.802,0.129,0.802,0.129
fake_cairo,2,3,0.944,0.946,-0.0020000000000000018,0.946,-0.0020000000000000018
fake_mumbai,0,3,0.959,0.868,0.09099999999999997,0.868,0.09099999999999997
fake_mumbai,1,3,0.931,0.834,0.09700000000000009,0.834,0.09700000000000009
fake_mumbai,2,3,0.97,0.917,0.052999999999999936,0.917,0.052999999999999936
fake_kolkata,0,3,0.9,0.739,0.16100000000000003,0.739,0.16100000000000003
fake_kolkata,1,3,0.931,0.814,0.1170000000000001,0.814,0.1170000000000001
fake_kolkata,2,3,0.957,0.892,0.06499999999999995,0.892,0.06499999999999995
fake_auckland,0,3,0.824,0.593,0.23099999999999998,0.593,0.23099999999999998
fake_auckland,1,3,0.886,0.719,0.16700000000000004,0.719,0.16700000000000004
fake_auckland,2,3,0.918,0.806,0.11199999999999999,0.806,0.11199999999999999
fake_geneva,0,3,0.973,0.199,0.774,0.199,0.774
fake_geneva,1,3,0.965,0.225,0.74,0.225,0.74
fake_geneva,2,3,0.939,0.678,0.2609999999999999,0.678,0.2609999999999999
fake_montreal,0,3,0.947,0.872,0.07499999999999996,0.872,0.07499999999999996
fake_montreal,1,3,0.966,0.904,0.061999999999999944,0.904,0.061999999999999944
fake_montreal,2,3,0.976,0.943,0.03300000000000003,0.943,0.03300000000000003
fake_paris,0,3,0.919,0.8,0.119,0.8,0.119
fake_paris,1,3,0.919,0.788,0.131,0.788,0.131
fake_paris,2,3,0.943,0.856,0.08699999999999997,0.856,0.08699999999999997
fake_sydney,0,3,0.829,0.594,0.235,0.594,0.235
fake_sydney,1,3,0.967,0.908,0.05899999999999994,0.908,0.05899999999999994
fake_sydney,2,3,0.947,0.86,0.08699999999999997,0.86,0.08699999999999997
fake_toronto,0,3,0.827,0.581,0.246,0.581,0.246
fake_toronto,1,3,0.825,0.611,0.21399999999999997,0.611,0.21399999999999997
fake_toronto,2,3,0.942,0.858,0.08399999999999996,0.858,0.08399999999999996
fake_brooklyn,0,3,0.928,0.833,0.09500000000000008,0.833,0.09500000000000008
fake_brooklyn,1,3,0.94,0.849,0.09099999999999997,0.849,0.09099999999999997
fake_brooklyn,2,3,0.905,0.769,0.136,0.769,0.136
fake_manhattan,0,3,0.197,0.224,-0.026999999999999996,0.224,-0.026999999999999996
fake_manhattan,1,3,0.198,0.215,-0.016999999999999987,0.215,-0.016999999999999987
fake_manhattan,2,3,0.12,0.133,-0.013000000000000012,0.133,-0.013000000000000012
fake_cambridge,0,3,0.197,0.214,-0.016999999999999987,0.214,-0.016999999999999987
fake_cambridge,1,3,0.197,0.183,0.014000000000000012,0.183,0.014000000000000012
fake_cambridge,2,3,0.197,0.187,0.010000000000000009,0.187,0.010000000000000009
fake_guadalupe,0,3,0.971,0.918,0.052999999999999936,0.918,0.052999999999999936
fake_guadalupe,1,3,0.972,0.921,0.050999999999999934,0.921,0.050999999999999934
fake_guadalupe,2,3,0.969,0.925,0.04399999999999993,0.925,0.04399999999999993
fake_melbourne,0,3,0.916,0.792,0.124,0.792,0.124
fake_melbourne,1,3,0.913,0.78,0.133,0.78,0.133
fake_melbourne,2,3,0.91,0.786,0.124,0.786,0.124
fake_rochester,0,3,0.192,0.17,0.021999999999999992,0.17,0.021999999999999992
fake_rochester,1,3,0.918,0.213,0.7050000000000001,0.213,0.7050000000000001
fake_rochester,2,3,0.12,0.119,0.0010000000000000009,0.119,0.0010000000000000009
fake_washington,0,3,0.198,0.187,0.01100000000000001,0.187,0.01100000000000001
fake_washington,1,3,0.193,0.152,0.04100000000000001,0.152,0.04100000000000001
fake_washington,2,3,0.192,0.18,0.01200000000000001,0.18,0.01200000000000001
