hardware,embedding,horizon,lambda,time
fake_rochester,0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,43
fake_rochester,0,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,224
fake_rochester,0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1144
fake_rochester,0,7,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,5742
fake_rochester,1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,43
fake_rochester,1,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,224
fake_rochester,1,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,1144
fake_rochester,1,7,0.50000150000049999749999750000050000150000050000000000000000000000000000000000000,5742
fake_rochester,2,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,43
fake_rochester,2,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,224
fake_rochester,2,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,1145
fake_rochester,2,7,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,5742
fake_rochester,3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,43
fake_rochester,3,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,224
fake_rochester,3,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,1144
fake_rochester,3,7,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,5742
fake_rochester,4,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,44
fake_rochester,4,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,224
