hardware_spec,embedding_index,horizon,my_guarantee,baseline_guarantee,diff,best_baseline,diff_best
fake_johannesburg,0,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,0,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,0,3,0.806,0.806,0.0,0.806,0.0
fake_johannesburg,0,4,0.879,0.733,0.14600000000000002,0.806,0.07299999999999995
fake_johannesburg,0,5,0.885,0.868,0.017000000000000015,0.868,0.017000000000000015
fake_johannesburg,0,6,0.924,0.811,0.11299999999999999,0.868,0.05600000000000005
fake_johannesburg,0,7,0.943,0.896,0.04699999999999993,0.896,0.04699999999999993
fake_johannesburg,1,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,1,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,1,3,0.881,0.881,0.0,0.881,0.0
fake_johannesburg,1,4,0.941,0.941,0.0,0.941,0.0
fake_johannesburg,1,5,0.947,0.929,0.017999999999999905,0.941,0.006000000000000005
fake_johannesburg,1,6,0.956,0.956,0.0,0.956,0.0
fake_johannesburg,1,7,0.962,0.947,0.015000000000000013,0.956,0.006000000000000005
fake_johannesburg,2,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,2,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,2,3,0.892,0.892,0.0,0.892,0.0
fake_johannesburg,2,4,0.892,0.892,0.0,0.892,0.0
fake_johannesburg,2,5,0.941,0.941,0.0,0.941,0.0
fake_johannesburg,2,6,0.942,0.942,0.0,0.942,0.0
fake_johannesburg,2,7,0.951,0.951,0.0,0.951,0.0
fake_johannesburg,3,1,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,3,2,0.5,0.5,0.0,0.5,0.0
fake_johannesburg,3,3,0.937,0.937,0.0,0.937,0.0
fake_johannesburg,3,4,0.944,0.944,0.0,0.944,0.0
fake_johannesburg,3,5,0.952,0.952,0.0,0.952,0.0
fake_johannesburg,3,6,0.952,0.952,0.0,0.952,0.0
fake_johannesburg,3,7,0.953,0.953,0.0,0.953,0.0
fake_almaden,0,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,0,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,0,3,0.899,0.899,0.0,0.899,0.0
fake_almaden,0,4,0.954,0.954,0.0,0.954,0.0
fake_almaden,0,5,0.957,0.948,0.009000000000000008,0.954,0.0030000000000000027
fake_almaden,0,6,0.971,0.971,0.0,0.971,0.0
fake_almaden,0,7,0.976,0.965,0.01100000000000001,0.971,0.0050000000000000044
fake_almaden,1,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,1,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,1,3,0.904,0.904,0.0,0.904,0.0
fake_almaden,1,4,0.907,0.907,0.0,0.907,0.0
fake_almaden,1,5,0.945,0.945,0.0,0.945,0.0
fake_almaden,1,6,0.946,0.946,0.0,0.946,0.0
fake_almaden,1,7,0.951,0.951,0.0,0.951,0.0
fake_almaden,2,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,2,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,2,3,0.961,0.961,0.0,0.961,0.0
fake_almaden,2,4,0.972,0.972,0.0,0.972,0.0
fake_almaden,2,5,0.977,0.977,0.0,0.977,0.0
fake_almaden,2,6,0.978,0.978,0.0,0.978,0.0
fake_almaden,2,7,0.978,0.978,0.0,0.978,0.0
fake_almaden,3,1,0.5,0.5,0.0,0.5,0.0
fake_almaden,3,2,0.5,0.5,0.0,0.5,0.0
fake_almaden,3,3,0.741,0.741,0.0,0.741,0.0
fake_almaden,3,4,0.78,0.703,0.07700000000000007,0.741,0.039000000000000035
fake_almaden,3,5,0.817,0.817,0.0,0.817,0.0
fake_almaden,3,6,0.856,0.778,0.07799999999999996,0.817,0.039000000000000035
fake_almaden,3,7,0.857,0.855,0.0020000000000000018,0.855,0.0020000000000000018
fake_boeblingen,0,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,0,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,0,3,0.941,0.941,0.0,0.941,0.0
fake_boeblingen,0,4,0.944,0.944,0.0,0.944,0.0
fake_boeblingen,0,5,0.972,0.972,0.0,0.972,0.0
fake_boeblingen,0,6,0.973,0.973,0.0,0.973,0.0
fake_boeblingen,0,7,0.976,0.976,0.0,0.976,0.0
fake_boeblingen,1,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,1,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,1,3,0.853,0.853,0.0,0.853,0.0
fake_boeblingen,1,4,0.913,0.913,0.0,0.913,0.0
fake_boeblingen,1,5,0.917,0.917,0.0,0.917,0.0
fake_boeblingen,1,6,0.955,0.955,0.0,0.955,0.0
fake_boeblingen,1,7,0.963,0.943,0.020000000000000018,0.955,0.008000000000000007
fake_boeblingen,2,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,2,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,2,3,0.955,0.955,0.0,0.955,0.0
fake_boeblingen,2,4,0.962,0.962,0.0,0.962,0.0
fake_boeblingen,2,5,0.971,0.971,0.0,0.971,0.0
fake_boeblingen,2,6,0.972,0.972,0.0,0.972,0.0
fake_boeblingen,2,7,0.972,0.972,0.0,0.972,0.0
fake_boeblingen,3,1,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,3,2,0.5,0.5,0.0,0.5,0.0
fake_boeblingen,3,3,0.897,0.897,0.0,0.897,0.0
fake_boeblingen,3,4,0.915,0.915,0.0,0.915,0.0
fake_boeblingen,3,5,0.956,0.956,0.0,0.956,0.0
fake_boeblingen,3,6,0.964,0.964,0.0,0.964,0.0
fake_boeblingen,3,7,0.97,0.97,0.0,0.97,0.0
fake_poughkeepsie,0,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,0,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,0,3,0.954,0.954,0.0,0.954,0.0
fake_poughkeepsie,0,4,0.968,0.968,0.0,0.968,0.0
fake_poughkeepsie,0,5,0.972,0.972,0.0,0.972,0.0
fake_poughkeepsie,0,6,0.974,0.974,0.0,0.974,0.0
fake_poughkeepsie,0,7,0.974,0.974,0.0,0.974,0.0
fake_poughkeepsie,1,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,1,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,1,3,0.953,0.953,0.0,0.953,0.0
fake_poughkeepsie,1,4,0.954,0.954,0.0,0.954,0.0
fake_poughkeepsie,1,5,0.975,0.975,0.0,0.975,0.0
fake_poughkeepsie,1,6,0.975,0.975,0.0,0.975,0.0
fake_poughkeepsie,1,7,0.977,0.977,0.0,0.977,0.0
fake_poughkeepsie,2,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,2,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,2,3,0.848,0.848,0.0,0.848,0.0
fake_poughkeepsie,2,4,0.852,0.852,0.0,0.852,0.0
fake_poughkeepsie,2,5,0.901,0.901,0.0,0.901,0.0
fake_poughkeepsie,2,6,0.903,0.903,0.0,0.903,0.0
fake_poughkeepsie,2,7,0.914,0.914,0.0,0.914,0.0
fake_poughkeepsie,3,1,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,3,2,0.5,0.5,0.0,0.5,0.0
fake_poughkeepsie,3,3,0.757,0.757,0.0,0.757,0.0
fake_poughkeepsie,3,4,0.823,0.823,0.0,0.823,0.0
fake_poughkeepsie,3,5,0.832,0.804,0.027999999999999914,0.823,0.009000000000000008
fake_poughkeepsie,3,6,0.855,0.855,0.0,0.855,0.0
fake_poughkeepsie,3,7,0.873,0.827,0.04600000000000004,0.855,0.018000000000000016
fake_singapore,0,1,0.5,0.5,0.0,0.5,0.0
fake_singapore,0,2,0.5,0.5,0.0,0.5,0.0
fake_singapore,0,3,0.903,0.903,0.0,0.903,0.0
fake_singapore,0,4,0.941,0.866,0.07499999999999996,0.903,0.03799999999999992
