hardware,embedding,horizon,lambda,time
fake_washington,0,1,0.50000100000000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,0,2,0.50000200000200000000000000000000000000000000000000000000000000000000000000000000,1
fake_washington,0,3,0.96785862617791800000000000000000000000000000000000000000000000000000000000000000,4
fake_washington,0,4,0.96785865679357923120000000000000000000000000000000000000000000000000000000000000,21
fake_washington,0,5,0.97931762585306037929664000000000000000000000000000000000000000000000000000000000,112
fake_washington,0,6,0.97931762697784058488455206400000000000000000000000000000000000000000000000000000,578
fake_washington,0,7,0.97973861483360552612975305390080000000000000000000000000000000000000000000000000,2961
fake_washington,1,1,0.50000150000000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,1,2,0.50000300000450000000000000000000000000000000000000000000000000000000000000000000,1
fake_washington,1,3,0.51523343685095000000000000000000000000000000000000000000000000000000000000000000,4
fake_washington,1,4,0.51632404352947802000000000000000000000000000000000000000000000000000000000000000,22
fake_washington,1,5,0.52075136073168504315200000000000000000000000000000000000000000000000000000000000,115
fake_washington,1,6,0.52195338396298855423968320000000000000000000000000000000000000000000000000000000,587
fake_washington,1,7,0.52377961204764069931548335360000000000000000000000000000000000000000000000000000,3547
fake_washington,2,1,0.50000050000000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,2,2,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,1
fake_washington,2,3,0.97974261942039700000000000000000000000000000000000000000000000000000000000000000,5
fake_washington,2,4,0.98051020581506863880000000000000000000000000000000000000000000000000000000000000,28
fake_washington,2,5,0.98241981172256961663904000000000000000000000000000000000000000000000000000000000,145
fake_washington,2,6,0.98243266812994394777749561600000000000000000000000000000000000000000000000000000,748
fake_washington,2,7,0.98593930973904426552208860889049280000000000000000000000000000000000000000000000,3657
