backend,embedding,time
JOHANNESBURG,0,15.074461936950684
JOHANNESBURG,1,13.67669677734375
JOHANNESBURG,2,15.345215320587158
JOHANNESBURG,3,14.175858974456787
ALMADEN,0,12.946479797363281
ALMADEN,1,13.60405707359314
ALMADEN,2,14.375304937362671
ALMADEN,3,13.531503915786743
BOEBLINGEN,0,14.52552080154419
BOEBLINGEN,1,14.35307788848877
BOEBLINGEN,2,13.640452861785889
BOEBLINGEN,3,15.590735673904419
POUGHKEEPSIE,0,15.216095924377441
POUGHKEEPSIE,1,15.535829067230225
POUGHKEEPSIE,2,14.817198038101196
POUGHKEEPSIE,3,13.856732368469238
SINGAPORE,0,15.142662763595581
SINGAPORE,1,15.351876258850098
SINGAPORE,2,14.54911494255066
SINGAPORE,3,13.670849800109863
TOKYO,0,13.158567905426025
TOKYO,1,13.09864616394043
TOKYO,2,13.58828091621399
TOKYO,3,14.11113691329956
TOKYO,4,14.849976062774658
