hardware,embedding,horizon,lambda,time
fake_washington,0,2,0.98742641440000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,0,3,0.98742641440000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,0,4,0.99936469610616371200000000000000000000000000000000000000000000000000000000000000,0
fake_washington,0,5,0.99953396988140271771852800000000000000000000000000000000000000000000000000000000,2
fake_washington,0,6,0.99989946753880594345963520000000000000000000000000000000000000000000000000000000,5
fake_washington,0,7,0.99997873392525202315268250533888000000000000000000000000000000000000000000000000,16
fake_washington,1,2,0.75441732500000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,1,3,0.77263360547000000000000000000000000000000000000000000000000000000000000000000000,1
fake_washington,1,4,0.84658258586127200000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,1,5,0.86665984445869207520000000000000000000000000000000000000000000000000000000000000,2
fake_washington,1,6,0.89716312639083153176960000000000000000000000000000000000000000000000000000000000,5
fake_washington,1,7,0.91566414664991422214510336000000000000000000000000000000000000000000000000000000,16
fake_washington,2,2,0.99707221960000000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,2,3,0.99786753515136000000000000000000000000000000000000000000000000000000000000000000,0
fake_washington,2,4,0.99984612118003340800000000000000000000000000000000000000000000000000000000000000,1
fake_washington,2,5,0.99998310418658799104371200000000000000000000000000000000000000000000000000000000,2
fake_washington,2,6,0.99999589082569688289381294080000000000000000000000000000000000000000000000000000,5
fake_washington,2,7,0.99999954966577819957357068050432000000000000000000000000000000000000000000000000,16
