backend,embedding,time
JOHANNESBURG,0,0.0007801055908203125
JOHANNESBURG,1,0.0007269382476806641
JOHANNESBURG,2,0.0007870197296142578
JOHANNESBURG,3,0.0007059574127197266
ALMADEN,0,0.0006859302520751953
ALMADEN,1,0.0007040500640869141
ALMADEN,2,0.0007231235504150391
ALMADEN,3,0.0007529258728027344
ALMADEN,4,0.0007388591766357422
ALMADEN,5,0.0007522106170654297
BOEBLINGEN,0,0.000659942626953125
BOEBLINGEN,1,0.0007107257843017578
BOEBLINGEN,2,0.00074005126953125
BOEBLINGEN,3,0.0007727146148681641
BOEBLINGEN,4,0.0007569789886474609
POUGHKEEPSIE,0,0.0007750988006591797
POUGHKEEPSIE,1,0.0007920265197753906
POUGHKEEPSIE,2,0.0007450580596923828
POUGHKEEPSIE,3,0.0007078647613525391
SINGAPORE,0,0.0007736682891845703
SINGAPORE,1,0.0007901191711425781
SINGAPORE,2,0.0007579326629638672
SINGAPORE,3,0.0006999969482421875
TOKYO,0,0.0006589889526367188
TOKYO,1,0.0006740093231201172
TOKYO,2,0.0007321834564208984
TOKYO,3,0.0007228851318359375
TOKYO,4,0.0007486343383789062
TOKYO,5,0.0007750988006591797
