horizon,alg_index,hardware_spec,embedding_index,acc
2,0,fake_johannesburg,0,0.82674359
2,0,fake_johannesburg,1,0.908285789
2,0,fake_johannesburg,2,0.9311865012
2,0,fake_johannesburg,3,0.9815663625
2,0,fake_almaden,0,0.9177976147865
2,0,fake_almaden,1,0.9459558535985
2,0,fake_almaden,2,0.981302360126
2,0,fake_almaden,3,0.771981094982
2,0,fake_boeblingen,0,0.962845966
2,0,fake_boeblingen,1,0.8712086126
2,0,fake_boeblingen,2,0.981529742
2,0,fake_boeblingen,3,0.9164434846
2,0,fake_poughkeepsie,0,0.97831024
2,0,fake_poughkeepsie,1,0.974065675
2,0,fake_poughkeepsie,2,0.9144816
2,0,fake_poughkeepsie,3,0.822211412
2,0,fake_singapore,0,0.9172758025
2,0,fake_singapore,1,0.982679288
2,0,fake_singapore,2,0.911636616
2,0,fake_singapore,3,0.9531167925
2,0,fake_tokyo,0,0.93876008
2,0,fake_tokyo,1,0.883925612
2,0,fake_tokyo,2,0.810013819
2,0,fake_tokyo,3,0.974083725
2,0,fake_tokyo,4,0.950299923
2,0,fake_hanoi,0,0.9671037568
2,0,fake_hanoi,1,0.9936343379
2,0,fake_hanoi,2,0.9217489622
2,0,fake_hanoi,3,0.9305122148
2,0,fake_cairo,0,0.9902558224
2,0,fake_cairo,1,0.8935508
2,0,fake_cairo,2,0.9830907968
2,0,fake_cairo,3,0.994245627
2,0,fake_mumbai,0,0.9690892688
2,0,fake_mumbai,1,0.985793102
2,0,fake_mumbai,2,0.9558056287
2,0,fake_mumbai,3,0.8987290136
2,0,fake_kolkata,0,0.9950326664
2,0,fake_kolkata,1,0.9528384237
2,0,fake_kolkata,2,0.9930722612
2,0,fake_kolkata,3,0.978813798
2,0,fake_auckland,0,0.8643946595
2,0,fake_auckland,1,0.9934923952
2,0,fake_geneva,0,0.8584669594
2,0,fake_geneva,1,0.9858616048
2,0,fake_montreal,0,0.9887723971
2,0,fake_montreal,1,0.9928206431
2,0,fake_montreal,2,0.9032080476
2,0,fake_paris,0,0.990534968
2,0,fake_paris,1,0.7887821288
2,0,fake_paris,2,0.8969232905
2,0,fake_sydney,0,0.8814584264
2,0,fake_sydney,1,0.9906048042
2,0,fake_toronto,0,0.9920700592
2,0,fake_toronto,1,0.9858622971
2,0,fake_toronto,2,0.7252472145
2,0,fake_brooklyn,0,0.9110959856
2,0,fake_brooklyn,1,0.9873639875
2,0,fake_brooklyn,2,0.9304135845
2,0,fake_brooklyn,3,0.9871401656
2,0,fake_manhattan,0,0.945377042
2,0,fake_manhattan,1,0.9598735
2,0,fake_manhattan,2,0.8274583187
2,0,fake_manhattan,3,0.5962218044
2,0,fake_manhattan,4,0.9935375727
2,0,fake_cambridge,0,0.60970531
2,0,fake_cambridge,1,0.919350101
2,0,fake_cambridge,2,0.610829726
2,0,fake_cambridge,3,0.982563851
2,0,fake_guadalupe,0,0.939323321
2,0,fake_guadalupe,1,0.9881798782
2,0,fake_melbourne,0,0.973302077
2,0,fake_melbourne,1,0.96964374
2,0,fake_melbourne,2,0.9409671464
2,0,fake_melbourne,3,0.8128800694
2,0,fake_rochester,0,0.78869239
2,0,fake_rochester,1,0.79000655
2,0,fake_rochester,2,0.61910378
2,0,fake_rochester,3,0.98920571
2,0,fake_rochester,4,0.59687678
2,0,fake_washington,0,0.9874264144
2,0,fake_washington,1,0.754417325
2,0,fake_washington,2,0.9970722196
3,0,fake_johannesburg,0,0.904573913138
3,0,fake_johannesburg,1,0.8436133200224
3,0,fake_johannesburg,2,0.9307553146988
3,0,fake_johannesburg,3,0.9741502405175
3,0,fake_almaden,0,0.8606984681664734
3,0,fake_almaden,1,0.9429826659225587
3,0,fake_almaden,2,0.97007213215718
3,0,fake_almaden,3,0.81549807017912
3,0,fake_boeblingen,0,0.9601614593972
3,0,fake_boeblingen,1,0.8084743570706
3,0,fake_boeblingen,2,0.9745957137152
3,0,fake_boeblingen,3,0.8968706408238
3,0,fake_poughkeepsie,0,0.9639609328
3,0,fake_poughkeepsie,1,0.97311754365
3,0,fake_poughkeepsie,2,0.9095078208
3,0,fake_poughkeepsie,3,0.739080867704
3,0,fake_singapore,0,0.9560824521325
3,0,fake_singapore,1,0.971094985088
3,0,fake_singapore,2,0.85812385592
3,0,fake_singapore,3,0.9535699092925
3,0,fake_tokyo,0,0.93700503968
3,0,fake_tokyo,1,0.871639992416
3,0,fake_tokyo,2,0.74491091701
3,0,fake_tokyo,3,0.96555021795
3,0,fake_tokyo,4,0.95480292223
3,0,fake_hanoi,0,0.976445831936
3,0,fake_hanoi,1,0.99156107368082
3,0,fake_hanoi,2,0.91432618046528
3,0,fake_hanoi,3,0.93042611235704
3,0,fake_cairo,0,0.9902558224
3,0,fake_cairo,1,0.88914303104
3,0,fake_cairo,2,0.99024054059264
3,0,fake_cairo,3,0.992762890119
3,0,fake_mumbai,0,0.96927690450752
3,0,fake_mumbai,1,0.9816152813228
3,0,fake_mumbai,2,0.95735536783758
3,0,fake_mumbai,3,0.8995264716272
3,0,fake_kolkata,0,0.99315154226768
3,0,fake_kolkata,1,0.94387222291074
3,0,fake_kolkata,2,0.9930722612
3,0,fake_kolkata,3,0.9804417649132
3,0,fake_auckland,0,0.8643946595
3,0,fake_auckland,1,0.9934923952
3,0,fake_geneva,0,0.8584669594
3,0,fake_geneva,1,0.9858616048
3,0,fake_montreal,0,0.9892611694971
3,0,fake_montreal,1,0.98877951382658
3,0,fake_montreal,2,0.9044176717428
3,0,fake_paris,0,0.9862182602816
3,0,fake_paris,1,0.83723977001264
3,0,fake_paris,2,0.9640033265945
3,0,fake_sydney,0,0.86574233923232
3,0,fake_sydney,1,0.9871705705706
3,0,fake_toronto,0,0.99029860698688
3,0,fake_toronto,1,0.98421036528986
3,0,fake_toronto,2,0.7434922388745
3,0,fake_brooklyn,0,0.86373772805888
3,0,fake_brooklyn,1,0.9827827660175
3,0,fake_brooklyn,2,0.9248182079015
3,0,fake_brooklyn,3,0.9856787451032
3,0,fake_manhattan,0,0.9452879665916
3,0,fake_manhattan,1,0.9824992762
3,0,fake_manhattan,2,0.81900989407754
3,0,fake_manhattan,3,0.53131057515176
3,0,fake_manhattan,4,0.98949056460386
3,0,fake_cambridge,0,0.565823186
3,0,fake_cambridge,1,0.916834000394
3,0,fake_cambridge,2,0.668239524068
3,0,fake_cambridge,3,0.971947446278
3,0,fake_guadalupe,0,0.9123488690906
3,0,fake_guadalupe,1,0.98144299588084
3,0,fake_melbourne,0,0.952950087689
3,0,fake_melbourne,1,0.960626580192
3,0,fake_melbourne,2,0.90692448269792
3,0,fake_melbourne,3,0.88571854955632
3,0,fake_rochester,0,0.82189201485
3,0,fake_rochester,1,0.7903690581875
3,0,fake_rochester,2,0.618061621925
3,0,fake_rochester,3,0.98186762435
