,,value,value,value,value,value,value,value,value
,,count,mean,std,min,25%,50%,75%,max
program,variable,,,,,,,,
0,accum_prob,3.0,0.846,0.045,0.813,0.82,0.827,0.862,0.897
0,oneq_gates,3.0,0.998,0.001,0.997,0.997,0.998,0.998,0.999
0,success0,3.0,0.739,0.064,0.697,0.702,0.708,0.76,0.813
0,success1,3.0,0.953,0.027,0.93,0.938,0.946,0.964,0.982
0,success_diff,3.0,-0.213,0.038,-0.238,-0.236,-0.233,-0.201,-0.169
1,accum_prob,4.0,0.813,0.149,0.598,0.77,0.868,0.912,0.918
1,oneq_gates,4.0,0.99,0.009,0.978,0.987,0.992,0.995,0.998
1,success0,4.0,0.946,0.063,0.854,0.93,0.972,0.988,0.989
1,success1,4.0,0.68,0.236,0.341,0.609,0.764,0.836,0.85
1,success_diff,4.0,0.266,0.172,0.137,0.153,0.208,0.322,0.512
2,accum_prob,33.0,0.972,0.028,0.888,0.963,0.983,0.991,0.997
2,oneq_gates,33.0,0.998,0.003,0.984,0.998,0.999,1.0,1.0
2,success0,33.0,0.977,0.028,0.904,0.966,0.992,0.995,0.998
2,success1,33.0,0.966,0.029,0.872,0.952,0.975,0.986,0.996
2,success_diff,33.0,0.011,0.01,0.0,0.004,0.008,0.015,0.043
3,accum_prob,9.0,0.835,0.085,0.726,0.773,0.79,0.903,0.96
3,oneq_gates,9.0,0.998,0.003,0.993,0.997,0.999,1.0,1.0
3,success0,9.0,0.793,0.105,0.685,0.705,0.733,0.898,0.935
3,success1,9.0,0.876,0.072,0.766,0.848,0.873,0.905,0.985
3,success_diff,9.0,-0.083,0.06,-0.168,-0.115,-0.081,-0.049,-0.002
4,accum_prob,7.0,0.911,0.054,0.811,0.892,0.913,0.948,0.97
4,oneq_gates,7.0,0.997,0.002,0.992,0.996,0.997,0.998,0.999
4,success0,7.0,0.964,0.023,0.916,0.96,0.971,0.978,0.981
4,success1,7.0,0.858,0.09,0.706,0.817,0.856,0.924,0.96
4,success_diff,7.0,0.106,0.072,0.019,0.048,0.115,0.15,0.21
5,accum_prob,3.0,0.929,0.012,0.917,0.924,0.931,0.936,0.94
5,oneq_gates,3.0,0.999,0.001,0.998,0.998,0.999,0.999,0.999
5,success0,3.0,0.949,0.018,0.937,0.939,0.941,0.956,0.97
5,success1,3.0,0.909,0.015,0.894,0.902,0.909,0.917,0.924
5,success_diff,3.0,0.04,0.025,0.013,0.03,0.047,0.054,0.061
6,accum_prob,5.0,0.932,0.08,0.791,0.954,0.957,0.969,0.989
6,oneq_gates,5.0,0.995,0.009,0.978,0.997,0.999,1.0,1.0
6,success0,5.0,0.93,0.08,0.79,0.952,0.953,0.969,0.988
6,success1,5.0,0.933,0.08,0.791,0.954,0.962,0.969,0.989
6,success_diff,5.0,-0.003,0.004,-0.01,-0.001,-0.001,-0.001,-0.0
7,accum_prob,4.0,0.971,0.012,0.956,0.964,0.973,0.98,0.983
7,oneq_gates,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
7,success0,4.0,0.966,0.012,0.954,0.956,0.966,0.976,0.977
7,success1,4.0,0.977,0.014,0.958,0.972,0.979,0.984,0.991
7,success_diff,4.0,-0.01,0.009,-0.02,-0.016,-0.009,-0.003,-0.003
8,accum_prob,5.0,0.829,0.122,0.619,0.828,0.882,0.894,0.922
8,oneq_gates,5.0,0.999,0.001,0.997,0.998,0.999,1.0,1.0
8,success0,5.0,0.839,0.125,0.624,0.841,0.899,0.902,0.931
8,success1,5.0,0.818,0.119,0.615,0.815,0.861,0.888,0.913
8,success_diff,5.0,0.021,0.013,0.009,0.011,0.018,0.026,0.041
9,accum_prob,7.0,0.954,0.063,0.859,0.926,0.988,0.992,0.994
9,oneq_gates,7.0,0.999,0.0,0.999,0.999,1.0,1.0,1.0
9,success0,7.0,0.954,0.063,0.859,0.926,0.988,0.992,0.994
9,success1,7.0,0.954,0.063,0.859,0.926,0.988,0.992,0.994
9,success_diff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,accum_prob,1.0,0.596,,0.596,0.596,0.596,0.596,0.596
10,oneq_gates,1.0,0.999,,0.999,0.999,0.999,0.999,0.999
10,success0,1.0,0.934,,0.934,0.934,0.934,0.934,0.934
10,success1,1.0,0.259,,0.259,0.259,0.259,0.259,0.259
10,success_diff,1.0,0.675,,0.675,0.675,0.675,0.675,0.675
11,accum_prob,1.0,0.61,,0.61,0.61,0.61,0.61,0.61
11,oneq_gates,1.0,0.996,,0.996,0.996,0.996,0.996,0.996
11,success0,1.0,0.81,,0.81,0.81,0.81,0.81,0.81
11,success1,1.0,0.41,,0.41,0.41,0.41,0.41,0.41
11,success_diff,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
12,accum_prob,1.0,0.611,,0.611,0.611,0.611,0.611,0.611
12,oneq_gates,1.0,0.998,,0.998,0.998,0.998,0.998,0.998
12,success0,1.0,0.352,,0.352,0.352,0.352,0.352,0.352
12,success1,1.0,0.87,,0.87,0.87,0.87,0.87,0.87
12,success_diff,1.0,-0.518,,-0.518,-0.518,-0.518,-0.518,-0.518
