hardware,embedding,horizon,lambda,time
fake_almaden,0,2,0.83596108241500000000000000000000000000000000000000000000,1
fake_almaden,0,3,0.83596108241500000000000000000000000000000000000000000000,7
fake_almaden,0,4,0.83596108241500000000000000000000000000000000000000000000,40
fake_almaden,0,5,0.83596108241500000000000000000000000000000000000000000000,177
fake_almaden,0,6,0.83596108241500000000000000000000000000000000000000000000,755
fake_almaden,1,2,0.81483580977900000000000000000000000000000000000000000000,1
fake_almaden,1,3,0.81483580977900000000000000000000000000000000000000000000,8
fake_almaden,1,4,0.81483580977900000000000000000000000000000000000000000000,39
fake_almaden,1,5,0.81483580977900000000000000000000000000000000000000000000,177
fake_almaden,1,6,0.81483580977900000000000000000000000000000000000000000000,755
fake_almaden,2,2,0.82477689143800000000000000000000000000000000000000000000,1
fake_almaden,2,3,0.82477689143800000000000000000000000000000000000000000000,8
fake_almaden,2,4,0.82477689143800000000000000000000000000000000000000000000,39
fake_almaden,2,5,0.82477689143800000000000000000000000000000000000000000000,176
fake_almaden,2,6,0.82477689143800000000000000000000000000000000000000000000,754
fake_almaden,3,2,0.82081155525600000000000000000000000000000000000000000000,2
fake_almaden,3,3,0.82081255382400000000000000000000000000000000000000000000,7
fake_almaden,3,4,0.83086858399435234400000000000000000000000000000000000000,39
fake_almaden,3,5,0.83086858399435234400000000000000000000000000000000000000,177
fake_almaden,3,6,0.83086858399435234400000000000000000000000000000000000000,754
fake_almaden,4,2,0.83489961900000000000000000000000000000000000000000000000,1
fake_almaden,4,3,0.83490261609600000000000000000000000000000000000000000000,7
fake_almaden,4,4,0.83490261609600000000000000000000000000000000000000000000,39
fake_almaden,4,5,0.83490261609600000000000000000000000000000000000000000000,177
fake_almaden,4,6,0.83490261609600000000000000000000000000000000000000000000,754
fake_boeblingen,0,2,0.83036174565000000000000000000000000000000000000000000000,1
fake_boeblingen,0,3,0.83036174565000000000000000000000000000000000000000000000,7
fake_boeblingen,0,4,0.83036174565000000000000000000000000000000000000000000000,40
fake_boeblingen,0,5,0.83036174565000000000000000000000000000000000000000000000,176
fake_boeblingen,0,6,0.83036174565000000000000000000000000000000000000000000000,754
fake_boeblingen,1,2,0.80687169526400000000000000000000000000000000000000000000,1
fake_boeblingen,1,3,0.80687169526400000000000000000000000000000000000000000000,8
fake_boeblingen,1,4,0.82745427404555867200000000000000000000000000000000000000,39
fake_boeblingen,1,5,0.82745427404555867200000000000000000000000000000000000000,176
fake_boeblingen,1,6,0.82745427404555867200000000000000000000000000000000000000,755
fake_boeblingen,2,2,0.84001827077300000000000000000000000000000000000000000000,1
fake_boeblingen,2,3,0.84001827077300000000000000000000000000000000000000000000,8
fake_boeblingen,2,4,0.84001827077300000000000000000000000000000000000000000000,39
fake_boeblingen,2,5,0.84001827077300000000000000000000000000000000000000000000,177
fake_boeblingen,2,6,0.84001827077300000000000000000000000000000000000000000000,757
fake_boeblingen,3,2,0.82592256773700000000000000000000000000000000000000000000,1
fake_boeblingen,3,3,0.82592356649000000000000000000000000000000000000000000000,8
fake_boeblingen,3,4,0.83672347755819174100000000000000000000000000000000000000,39
fake_boeblingen,3,5,0.83672347755819174100000000000000000000000000000000000000,177
fake_boeblingen,3,6,0.83672347755819174100000000000000000000000000000000000000,757
fake_boeblingen,4,2,0.82592356649000000000000000000000000000000000000000000000,1
fake_boeblingen,4,3,0.82592356773800000000000000000000000000000000000000000000,7
fake_boeblingen,4,4,0.82592356773800000000000000000000000000000000000000000000,40
fake_boeblingen,4,5,0.82592356773800000000000000000000000000000000000000000000,176
fake_boeblingen,4,6,0.82592356773800000000000000000000000000000000000000000000,753
fake_johannesburg,0,2,0.83387232473600000000000000000000000000000000000000000000,1
fake_johannesburg,0,3,0.83387232473600000000000000000000000000000000000000000000,8
fake_johannesburg,0,4,0.83387232473600000000000000000000000000000000000000000000,39
fake_johannesburg,0,5,0.83387232473600000000000000000000000000000000000000000000,176
fake_johannesburg,0,6,0.83387232473600000000000000000000000000000000000000000000,749
fake_johannesburg,1,2,0.80438915630500000000000000000000000000000000000000000000,1
fake_johannesburg,1,3,0.80438915630500000000000000000000000000000000000000000000,8
