backend,embedding,time
PERTH,0,4.498415231704712
PERTH,1,4.392157077789307
PERTH,2,4.325273036956787
PERTH,3,4.403270959854126
LAGOS,0,4.3621907234191895
LAGOS,1,4.3356170654296875
LAGOS,2,4.402003049850464
NAIROBI,0,4.3158159255981445
NAIROBI,1,4.368831157684326
NAIROBI,2,4.406369924545288
NAIROBI,3,4.2787909507751465
CASABLANCA,0,4.283109903335571
CASABLANCA,1,4.406709909439087
CASABLANCA,2,4.302304029464722
CASABLANCA,3,4.374393939971924
OSLO,0,4.460840940475464
OSLO,1,4.3093039989471436
OSLO,2,4.371860980987549
JAKARTA,0,4.293265104293823
JAKARTA,1,4.394250154495239
JAKARTA,2,4.326063871383667
JAKARTA,3,4.377576112747192
