hardware,embedding,horizon,lambda,time
fake_washington,0,2,0.76211859020000000000000000000000000,0
fake_washington,0,3,0.76211859020000000000000000000000000,6
fake_washington,0,4,0.76211859020000000000000000000000000,39
fake_washington,0,5,0.76211859020000000000000000000000000,270
fake_washington,0,6,0.76211859020000000000000000000000000,1759
fake_washington,1,2,0.85080020820000000000000000000000000,1
fake_washington,1,3,0.85080020820000000000000000000000000,5
fake_washington,1,4,0.85080020820000000000000000000000000,39
fake_washington,1,5,0.85080020820000000000000000000000000,271
fake_washington,1,6,0.85080020820000000000000000000000000,1762
fake_washington,2,2,0.82497860580000000000000000000000000,0
fake_washington,2,3,0.82497860580000000000000000000000000,5
fake_washington,2,4,0.84275460834252610065000000000000000,40
fake_washington,2,5,0.84452789988317652964662000000000000,271
fake_washington,2,6,0.84471050958104899465818624300000000,1764
fake_washington,3,2,0.83302000300000000000000000000000000,1
fake_washington,3,3,0.83302000300000000000000000000000000,5
fake_washington,3,4,0.83302000300000000000000000000000000,39
fake_washington,3,5,0.84875280730759359202275000000000000,271
fake_washington,3,6,0.84885082757348344911690975000000000,1761
fake_washington,4,2,0.81648450160000000000000000000000000,0
fake_washington,4,3,0.81648450160000000000000000000000000,5
fake_washington,4,4,0.81648450160000000000000000000000000,40
fake_washington,4,5,0.81648450160000000000000000000000000,272
fake_washington,4,6,0.81648450160000000000000000000000000,1763
fake_washington,5,2,0.84396784230000000000000000000000000,0
fake_washington,5,3,0.84396784230000000000000000000000000,5
fake_washington,5,4,0.84396784230000000000000000000000000,40
fake_washington,5,5,0.84396784230000000000000000000000000,271
fake_washington,5,6,0.84396784230000000000000000000000000,1776
