backend,embedding,time
VALENCIA,0,1057.8211109638214
VALENCIA,1,23.985917329788208
VALENCIA,2,23.87882399559021
VALENCIA,3,23.978588819503784
ATHENS,0,52.32659196853638
ATHENS,1,23.49217987060547
ATHENS,2,24.09754180908203
BELEM,0,24.58358907699585
BELEM,1,23.44352102279663
BELEM,2,23.57082509994507
BELEM,3,23.674341201782227
BOGOTA,0,23.586940050125122
BOGOTA,1,23.61149311065674
BOGOTA,2,23.584136962890625
BOGOTA,3,23.27839708328247
BURLINGTON,0,22.43516516685486
BURLINGTON,1,22.27762198448181
BURLINGTON,2,22.39853000640869
BURLINGTON,3,22.484904050827026
ESSEX,0,22.26409602165222
ESSEX,1,22.63947296142578
ESSEX,2,22.250142812728882
ESSEX,3,22.591226816177368
LIMA,0,23.53499412536621
LIMA,1,23.311591863632202
LIMA,2,23.897770404815674
LONDON,0,22.361927032470703
LONDON,1,22.25869607925415
LONDON,2,22.727608680725098
MANILA,0,23.698670148849487
MANILA,1,24.167978048324585
MANILA,2,24.490272045135498
OURENSE,0,23.83574604988098
OURENSE,1,24.289250135421753
OURENSE,2,23.624907970428467
QUITO,0,24.20353889465332
QUITO,1,23.87267518043518
QUITO,2,23.691355228424072
ROME,0,23.820322036743164
ROME,1,23.647660732269287
ROME,2,23.857656955718994
SANTIAGO,0,23.785115957260132
SANTIAGO,1,24.029911041259766
SANTIAGO,2,23.588316917419434
SANTIAGO,3,23.97966194152832
VIGO,0,23.482666015625
VIGO,1,23.82242703437805
VIGO,2,23.45028829574585
VIGO,3,23.856592893600464
YORKTOWN,0,24.01152801513672
YORKTOWN,1,23.728176832199097
YORKTOWN,2,23.652402877807617
