backend,embedding,time
BRISBANE,0,32.91701674461365
BRISBANE,1,41.149731159210205
CUSCO,0,36.19842600822449
CUSCO,1,39.44166588783264
CUSCO,2,32.11915397644043
KAWASAKI,0,39.62182974815369
KAWASAKI,1,35.09422421455383
KYIV,0,31.243869066238403
KYIV,1,41.49559712409973
KYOTO,0,38.83817410469055
KYOTO,1,35.796826124191284
KYOTO,2,40.95984482765198
OSAKA,0,32.906002044677734
OSAKA,1,33.67154884338379
OSAKA,2,40.1313738822937
WASHINGTON,0,34.91968512535095
WASHINGTON,1,40.26308989524841
WASHINGTON,2,42.22212076187134
