hardware,embedding,horizon,lambda,time
fake_almaden,0,1,0.74250000000000000000000000000000,0
fake_almaden,0,2,0.84233159602900000000000000000000,1
fake_almaden,0,3,0.84233159602900000000000000000000,7
fake_almaden,1,1,0.63666650000000000000000000000000,0
fake_almaden,1,2,0.69136342053200000000000000000000,1
fake_almaden,1,3,0.69136342053200000000000000000000,7
fake_boeblingen,0,1,0.65365000000000000000000000000000,0
fake_boeblingen,0,2,0.71658562156000000000000000000000,1
fake_boeblingen,0,3,0.71658590901981600000000000000000,7
fake_boeblingen,1,1,0.74340000000000000000000000000000,0
fake_boeblingen,1,2,0.84387478100000000000000000000000,1
fake_boeblingen,1,3,0.84387498159920000000000000000000,7
fake_johannesburg,0,1,0.66365000000000000000000000000000,0
fake_johannesburg,0,2,0.73064911760000000000000000000000,1
fake_johannesburg,0,3,0.73064956447544000000000000000000,7
fake_johannesburg,1,1,0.74125000000000000000000000000000,0
fake_johannesburg,1,2,0.83985879609100000000000000000000,0
fake_johannesburg,1,3,0.83985879609100000000000000000000,8
fake_poughkeepsie,0,1,0.73950000000000000000000000000000,0
fake_poughkeepsie,0,2,0.83772853248000000000000000000000,0
fake_poughkeepsie,0,3,0.83772926237184000000000000000000,7
fake_poughkeepsie,1,1,0.66350000000000000000000000000000,1
fake_poughkeepsie,1,2,0.72445191148800000000000000000000,0
fake_poughkeepsie,1,3,0.72445221823299200000000000000000,7
fake_singapore,0,1,0.74150000000000000000000000000000,0
fake_singapore,0,2,0.84107944417600000000000000000000,1
fake_singapore,0,3,0.84107944417600000000000000000000,7
fake_singapore,1,1,0.70600000000000000000000000000000,0
fake_singapore,1,2,0.79081330608000000000000000000000,1
fake_singapore,1,3,0.79081380120456000000000000000000,7
