hardware,embedding,horizon,lambda,time
fake_rochester,0,3,0.666970491038214000000000000000,4
fake_rochester,0,4,0.731769440036000000000000000000,32
fake_rochester,0,5,0.731769440036000000000000000000,184
fake_rochester,1,3,0.717989625824460000000000000000,5
fake_rochester,1,4,0.717989625824460000000000000000,32
fake_rochester,1,5,0.718003985688775451782446000000,185
fake_rochester,2,3,0.785561518500000000000000000000,4
fake_rochester,2,4,0.785561518500000000000000000000,32
fake_rochester,2,5,0.785561518500000000000000000000,186
fake_rochester,3,3,0.793119375800000000000000000000,5
fake_rochester,3,4,0.793135238266827937580000000000,32
fake_rochester,3,5,0.794241691017951320320000000000,186
fake_rochester,4,3,0.779286587887951000000000000000,5
fake_rochester,4,4,0.779286587887951000000000000000,31
fake_rochester,4,5,0.779302173697637417808795100000,188
fake_rochester,5,3,0.706622099500000000000000000000,5
fake_rochester,5,4,0.706626265713329213340000000000,32
fake_rochester,5,5,0.706636198011972206550000000000,189
