backend,embedding,time
PERTH,0,91.1000509262085
PERTH,1,92.1759250164032
PERTH,2,91.60423707962036
PERTH,3,92.96034669876099
LAGOS,0,92.92840909957886
LAGOS,1,91.32327604293823
LAGOS,2,93.59377408027649
NAIROBI,0,89.75122475624084
NAIROBI,1,91.7519280910492
NAIROBI,2,92.14014482498169
NAIROBI,3,91.21905398368835
CASABLANCA,0,91.03923988342285
CASABLANCA,1,93.14375972747803
CASABLANCA,2,91.84727811813354
CASABLANCA,3,92.20388603210449
OSLO,0,90.53726625442505
OSLO,1,90.7117190361023
OSLO,2,91.21043705940247
JAKARTA,0,89.07133412361145
JAKARTA,1,91.73838901519775
JAKARTA,2,89.28150391578674
JAKARTA,3,1031.46866106987
