hardware_spec,embedding_index,horizon,my_guarantee,baseline_guarantee,diff,best_baseline,diff_best
fake_algiers,0,3,0.846,0.5,0.346,0.5,0.346
fake_algiers,0,4,0.846,0.5,0.346,0.5,0.346
fake_algiers,0,5,0.846,0.5,0.346,0.5,0.346
fake_algiers,1,3,0.847,0.5,0.347,0.5,0.347
fake_algiers,1,4,0.847,0.5,0.347,0.5,0.347
fake_algiers,1,5,0.847,0.5,0.347,0.5,0.347
fake_algiers,2,3,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_algiers,2,4,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_algiers,2,5,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_algiers,3,3,0.845,0.5,0.345,0.5,0.345
fake_algiers,3,4,0.845,0.5,0.345,0.5,0.345
fake_algiers,3,5,0.845,0.5,0.345,0.5,0.345
fake_algiers,4,3,0.849,0.5,0.349,0.5,0.349
fake_algiers,4,4,0.849,0.5,0.349,0.5,0.349
fake_algiers,4,5,0.849,0.5,0.349,0.5,0.349
fake_algiers,5,3,0.847,0.5,0.347,0.5,0.347
fake_algiers,5,4,0.847,0.5,0.347,0.5,0.347
fake_algiers,5,5,0.847,0.5,0.347,0.5,0.347
fake_hanoi,0,3,0.848,0.5,0.348,0.5,0.348
fake_hanoi,0,4,0.848,0.5,0.348,0.5,0.348
fake_hanoi,0,5,0.848,0.5,0.348,0.5,0.348
fake_hanoi,1,3,0.848,0.5,0.348,0.5,0.348
fake_hanoi,1,4,0.848,0.5,0.348,0.5,0.348
fake_hanoi,1,5,0.848,0.5,0.348,0.5,0.348
fake_hanoi,2,3,0.845,0.5,0.345,0.5,0.345
fake_hanoi,2,4,0.845,0.5,0.345,0.5,0.345
fake_hanoi,2,5,0.845,0.5,0.345,0.5,0.345
fake_hanoi,3,3,0.849,0.5,0.349,0.5,0.349
fake_hanoi,3,4,0.849,0.5,0.349,0.5,0.349
fake_hanoi,3,5,0.849,0.5,0.349,0.5,0.349
fake_hanoi,4,3,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_hanoi,4,4,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_hanoi,4,5,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_hanoi,5,3,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_hanoi,5,4,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_hanoi,5,5,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_hanoi,6,3,0.845,0.5,0.345,0.5,0.345
fake_hanoi,6,4,0.845,0.5,0.345,0.5,0.345
fake_hanoi,6,5,0.845,0.5,0.345,0.5,0.345
fake_cairo,0,3,0.847,0.5,0.347,0.5,0.347
fake_cairo,0,4,0.847,0.5,0.347,0.5,0.347
fake_cairo,0,5,0.847,0.5,0.347,0.5,0.347
fake_cairo,1,3,0.843,0.5,0.34299999999999997,0.5,0.34299999999999997
fake_cairo,1,4,0.843,0.5,0.34299999999999997,0.5,0.34299999999999997
fake_cairo,1,5,0.843,0.5,0.34299999999999997,0.5,0.34299999999999997
fake_cairo,2,3,0.766,0.5,0.266,0.5,0.266
fake_cairo,2,4,0.766,0.5,0.266,0.5,0.266
fake_cairo,2,5,0.766,0.5,0.266,0.5,0.266
fake_cairo,3,3,0.741,0.5,0.241,0.5,0.241
fake_cairo,3,4,0.741,0.5,0.241,0.5,0.241
fake_cairo,3,5,0.741,0.5,0.241,0.5,0.241
fake_cairo,4,3,0.845,0.5,0.345,0.5,0.345
fake_cairo,4,4,0.845,0.5,0.345,0.5,0.345
fake_cairo,4,5,0.845,0.5,0.345,0.5,0.345
fake_cairo,5,3,0.741,0.5,0.241,0.5,0.241
fake_cairo,5,4,0.741,0.5,0.241,0.5,0.241
fake_cairo,5,5,0.741,0.5,0.241,0.5,0.241
fake_cairo,6,3,0.848,0.5,0.348,0.5,0.348
fake_cairo,6,4,0.848,0.5,0.348,0.5,0.348
fake_cairo,6,5,0.848,0.5,0.348,0.5,0.348
fake_cairo,7,3,0.848,0.5,0.348,0.5,0.348
fake_cairo,7,4,0.848,0.5,0.348,0.5,0.348
fake_cairo,7,5,0.848,0.5,0.348,0.5,0.348
fake_cairo,8,3,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_cairo,8,4,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_cairo,8,5,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_cairo,9,3,0.848,0.5,0.348,0.5,0.348
fake_cairo,9,4,0.848,0.5,0.348,0.5,0.348
fake_cairo,9,5,0.848,0.5,0.348,0.5,0.348
fake_cairo,10,3,0.847,0.5,0.347,0.5,0.347
fake_cairo,10,4,0.847,0.5,0.347,0.5,0.347
fake_cairo,10,5,0.847,0.5,0.347,0.5,0.347
fake_cairo,11,3,0.848,0.5,0.348,0.5,0.348
fake_cairo,11,4,0.848,0.5,0.348,0.5,0.348
fake_cairo,11,5,0.848,0.5,0.348,0.5,0.348
fake_mumbai,0,3,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_mumbai,0,4,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_mumbai,0,5,0.841,0.5,0.34099999999999997,0.5,0.34099999999999997
fake_mumbai,1,3,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_mumbai,1,4,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
fake_mumbai,1,5,0.839,0.5,0.33899999999999997,0.5,0.33899999999999997
