hardware,embedding,horizon,lambda,time
fake_melbourne,0,2,0.823623486575000000000000000000000000000000000000,0
fake_melbourne,0,3,0.823623486575000000000000000000000000000000000000,2
fake_melbourne,0,4,0.849131905252565288500000000000000000000000000000,12
fake_melbourne,0,5,0.849131907477249011840050000000000000000000000000,50
fake_melbourne,1,2,0.793003799059000000000000000000000000000000000000,0
fake_melbourne,1,3,0.793003999784986000000000000000000000000000000000,2
fake_melbourne,1,4,0.837605547974345098000000000000000000000000000000,12
fake_melbourne,1,5,0.837605578529256138892000000000000000000000000000,51
fake_melbourne,2,2,0.809205339674000000000000000000000000000000000000,1
fake_melbourne,2,3,0.809205339674000000000000000000000000000000000000,2
fake_melbourne,2,4,0.842882747089791027680000000000000000000000000000,12
fake_melbourne,2,5,0.842882786230489551378464000000000000000000000000,50
fake_melbourne,3,2,0.823623486575000000000000000000000000000000000000,0
fake_melbourne,3,3,0.823623486575000000000000000000000000000000000000,2
fake_melbourne,3,4,0.849131905252565288500000000000000000000000000000,12
fake_melbourne,3,5,0.849131907477249011840050000000000000000000000000,50
fake_melbourne,4,2,0.831333674480000000000000000000000000000000000000,0
fake_melbourne,4,3,0.831334432178720000000000000000000000000000000000,2
fake_melbourne,4,4,0.850618052033456000000000000000000000000000000000,12
fake_melbourne,4,5,0.850618096131521504000000000000000000000000000000,50
fake_melbourne,5,2,0.826991991970000000000000000000000000000000000000,1
fake_melbourne,5,3,0.826992235389222800000000000000000000000000000000,2
fake_melbourne,5,4,0.849506001993699109400000000000000000000000000000,12
fake_melbourne,5,5,0.849506018753360886787256000000000000000000000000,50
