backend,embedding,time
PERTH,0,4334.115050315857
PERTH,1,4180.789509534836
PERTH,2,3870.747045516968
PERTH,3,3849.610999584198
LAGOS,0,3872.9413051605225
LAGOS,1,3750.049656391144
LAGOS,2,3765.918466091156
NAIROBI,0,3691.78781914711
NAIROBI,1,3720.278920173645
NAIROBI,2,3674.8236434459686
NAIROBI,3,3732.506531238556
CASABLANCA,0,3605.625382900238
CASABLANCA,1,3589.83522939682
CASABLANCA,2,3600.5166380405426
CASABLANCA,3,3780.279396057129
OSLO,0,3657.437287092209
OSLO,1,3757.032684803009
OSLO,2,3688.838606119156
JAKARTA,0,3690.7829489707947
JAKARTA,1,3731.681045770645
JAKARTA,2,3672.989437818527
JAKARTA,3,3703.2891676425934
