hardware,embedding,horizon,lambda,time
fake_guadalupe,0,2,1.00000000000000000000000000000000000000000000000000000000,1
fake_guadalupe,0,3,1.00000000000000000000000000000000000000000000000000000000,1
fake_guadalupe,0,4,1.00000000000000000000000000000000000000000000000000000000,7
fake_guadalupe,0,5,1.00000000000000000000000000000000000000000000000000000000,47
fake_guadalupe,0,6,1.00000000000000000000000000000000000000000000000000000000,300
fake_guadalupe,1,2,1.00000000000000000000000000000000000000000000000000000000,0
fake_guadalupe,1,3,1.00000000000000000000000000000000000000000000000000000000,1
fake_guadalupe,1,4,1.00000000000000000000000000000000000000000000000000000000,8
fake_guadalupe,1,5,1.00000000000000000000000000000000000000000000000000000000,47
fake_guadalupe,1,6,1.00000000000000000000000000000000000000000000000000000000,302
