hardware,embedding,horizon,lambda,time
fake_washington,0,3,0.81971037170450000000000000000000000000000000000000000000000000000000000000000000,24
fake_washington,0,4,0.83090063951699595200000000000000000000000000000000000000000000000000000000000000,229
fake_washington,0,5,0.84724240861854691061560000000000000000000000000000000000000000000000000000000000,1878
fake_washington,1,3,0.76213502236400000000000000000000000000000000000000000000000000000000000000000000,29
fake_washington,1,4,0.76213502236400000000000000000000000000000000000000000000000000000000000000000000,270
fake_washington,1,5,0.81749723668119680000000000000000000000000000000000000000000000000000000000000000,2227
fake_washington,2,3,0.67866873031250000000000000000000000000000000000000000000000000000000000000000000,29
fake_washington,2,4,0.69146183041005257650000000000000000000000000000000000000000000000000000000000000,270
fake_washington,2,5,0.74339335705558907066260000000000000000000000000000000000000000000000000000000000,2207
fake_washington,3,3,0.62507596569200000000000000000000000000000000000000000000000000000000000000000000,23
fake_washington,3,4,0.62732265835200000000000000000000000000000000000000000000000000000000000000000000,224
fake_washington,3,5,0.67974031231771782944000000000000000000000000000000000000000000000000000000000000,1869
fake_washington,4,3,0.85121193401550000000000000000000000000000000000000000000000000000000000000000000,24
fake_washington,4,4,0.85177408129671960000000000000000000000000000000000000000000000000000000000000000,221
fake_washington,4,5,0.85317196777172261136000000000000000000000000000000000000000000000000000000000000,1825
