backend,embedding,time
HANOI,0,32.11733412742615
HANOI,1,31.967729091644287
HANOI,2,33.053422689437866
HANOI,3,32.994730949401855
HANOI,4,33.108009338378906
CAIRO,0,31.473010063171387
CAIRO,1,35.75057816505432
CAIRO,2,35.90911102294922
CAIRO,3,34.939478158950806
CAIRO,4,34.5727219581604
MUMBAI,0,31.904900789260864
MUMBAI,1,31.487863063812256
MUMBAI,2,33.085572957992554
MUMBAI,3,32.357177734375
MUMBAI,4,33.256800174713135
KOLKATA,0,33.07527709007263
KOLKATA,1,32.383392333984375
KOLKATA,2,33.12450981140137
KOLKATA,3,31.954977989196777
AUCKLAND,0,33.97847390174866
AUCKLAND,1,32.1219367980957
GENEVA,0,34.139394998550415
GENEVA,1,33.728151082992554
MONTREAL,0,31.69400715827942
MONTREAL,1,31.961479902267456
MONTREAL,2,31.829694986343384
MONTREAL,3,33.06916403770447
MONTREAL,4,33.54944729804993
PARIS,0,31.793150901794434
PARIS,1,32.17810821533203
PARIS,2,32.62357783317566
PARIS,3,32.2608208656311
PARIS,4,33.301941871643066
SYDNEY,0,32.442168951034546
SYDNEY,1,32.974807024002075
SYDNEY,2,32.574650287628174
TORONTO,0,34.71368908882141
TORONTO,1,33.04733991622925
TORONTO,2,32.29623007774353
TORONTO,3,33.00251293182373
