hardware,qubit,prob,op,most_noisy
fake_auckland,24,0.8645,MEAS,True
fake_auckland,13,0.9936,MEAS,False
fake_auckland,15,0.9598101228,SX,True
fake_auckland,25,0.9997685785,SX,False
fake_washington,109,0.6772,MEAS,True
fake_washington,126,0.9972,MEAS,False
fake_washington,37,0.9602365665,SX,True
fake_washington,1,0.9997659743,SX,False
fake_rochester,30,0.5975,MEAS,True
fake_rochester,20,0.99,MEAS,False
fake_rochester,0,1.0,U1,True
fake_rochester,51,0.9872418114,U2,True
fake_rochester,0,1.0,U1,False
fake_rochester,42,0.9990041277,U2,False
