backend,embedding,time
TENERIFE,0,16.624170064926147
TENERIFE,1,11.127056121826172
JOHANNESBURG,0,11.134607076644897
JOHANNESBURG,1,11.077980995178223
JOHANNESBURG,2,11.210840940475464
JOHANNESBURG,3,11.259658098220825
JOHANNESBURG,4,11.132207870483398
PERTH,0,10.520325899124146
PERTH,1,10.376044750213623
PERTH,2,10.372829914093018
PERTH,3,11.652422904968262
PERTH,4,11.28014612197876
LAGOS,0,11.289020776748657
LAGOS,1,10.656640768051147
LAGOS,2,10.571589946746826
LAGOS,3,10.6683509349823
LAGOS,4,10.792995929718018
NAIROBI,0,11.479444980621338
NAIROBI,1,12.221459865570068
NAIROBI,2,10.73744797706604
NAIROBI,3,10.608459949493408
NAIROBI,4,10.64301323890686
HANOI,0,11.111057043075562
HANOI,1,11.185333967208862
HANOI,2,11.390695095062256
HANOI,3,11.1039879322052
HANOI,4,10.949565887451172
HANOI,5,10.68665075302124
HANOI,6,10.676106929779053
CAIRO,0,10.791889905929565
CAIRO,1,11.091824293136597
CAIRO,2,11.181565761566162
CAIRO,3,11.33969521522522
CAIRO,4,11.155555963516235
CAIRO,5,11.082031965255737
CAIRO,6,11.368693590164185
CAIRO,7,10.8944833278656
CAIRO,8,11.101852893829346
CAIRO,9,10.816879034042358
MUMBAI,0,10.704412937164307
MUMBAI,1,10.695953130722046
MUMBAI,2,10.822798728942871
MUMBAI,3,10.754590272903442
MUMBAI,4,10.95054578781128
MUMBAI,5,11.175956964492798
MUMBAI,6,11.255574941635132
MUMBAI,7,10.865348815917969
KOLKATA,0,10.937743902206421
KOLKATA,1,10.871119737625122
KOLKATA,2,11.03024697303772
KOLKATA,3,10.985643148422241
KOLKATA,4,10.89448595046997
KOLKATA,5,10.98493504524231
KOLKATA,6,11.226379871368408
ALMADEN,0,11.576481103897095
ALMADEN,1,11.78679609298706
ALMADEN,2,11.491316080093384
ALMADEN,3,11.522419929504395
ALMADEN,4,11.590442180633545
ALMADEN,5,11.598734140396118
ALMADEN,6,11.824987888336182
ALMADEN,7,11.743908882141113
ALMADEN,8,11.568098068237305
ATHENS,0,12.240208864212036
ATHENS,1,11.410549879074097
ATHENS,2,10.990654945373535
AUCKLAND,0,10.990848779678345
AUCKLAND,1,10.87271785736084
BELEM,0,10.825293064117432
BELEM,1,11.005053997039795
BELEM,2,10.98316216468811
BOEBLINGEN,0,11.873889923095703
BOEBLINGEN,1,13.107465982437134
BOEBLINGEN,2,12.200178146362305
BOEBLINGEN,3,11.935292959213257
BOEBLINGEN,4,11.335450887680054
BOEBLINGEN,5,11.12602186203003
BOEBLINGEN,6,11.762210130691528
BOGOTA,0,10.558808088302612
BOGOTA,1,10.593605756759644
BOGOTA,2,10.420240879058838
BROOKLYN,0,10.450650215148926
BROOKLYN,1,10.432810068130493
BROOKLYN,2,10.403687000274658
BROOKLYN,3,10.633992195129395
BROOKLYN,4,10.465862035751343
BROOKLYN,5,14.481842041015625
BURLINGTON,0,19.283193111419678
BURLINGTON,1,19.761940002441406
BURLINGTON,2,19.258822202682495
CAMBRIDGE,0,18.929585933685303
CAMBRIDGE,1,19.107752084732056
CAMBRIDGE,2,19.14087677001953
CAMBRIDGE,3,19.234564065933228
CAMBRIDGE,4,19.1752450466156
CASABLANCA,0,17.993057012557983
