hardware,embedding,horizon,lambda,time
fake_almaden,0,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,35
fake_almaden,0,5,0.50000150000150000050000000000000000000000000000000000000000000000000000000000000,187
fake_almaden,0,6,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,965
fake_almaden,0,7,0.96937793698523577693510045952491678000000000000000000000000000000000000000000000,4869
fake_almaden,1,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,35
fake_almaden,1,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,186
fake_almaden,1,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,964
fake_almaden,1,7,0.97267202284490591711775371145225921680977500000000000000000000000000000000000000,4897
fake_almaden,2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,35
fake_almaden,2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,188
fake_almaden,2,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,970
fake_almaden,2,7,0.94352738585462044218799802173649607648422400000000000000000000000000000000000000,4902
fake_almaden,3,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,35
fake_almaden,3,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,188
fake_almaden,3,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,970
fake_almaden,3,7,0.96421675158277604251452259667596339200000000000000000000000000000000000000000000,4738
fake_almaden,4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,32
fake_almaden,4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,171
fake_almaden,4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,887
fake_almaden,4,7,0.92408268831257471455343945481192996821811200000000000000000000000000000000000000,4486
fake_almaden,5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,32
fake_almaden,5,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,172
fake_almaden,5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,888
fake_almaden,5,7,0.93902337212073395420774566293661223885619200000000000000000000000000000000000000,4490
fake_almaden,6,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,32
fake_almaden,6,5,0.50000200000150000000000000000000000000000000000000000000000000000000000000000000,172
fake_almaden,6,6,0.50000250000350000150000000000000000000000000000000000000000000000000000000000000,887
fake_almaden,6,7,0.97113215221693183940794535579076547200000000000000000000000000000000000000000000,4482
fake_almaden,7,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,32
fake_almaden,7,5,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,171
fake_almaden,7,6,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,883
fake_almaden,7,7,0.87251584097792204254371450666412075006368000000000000000000000000000000000000000,4459
fake_almaden,8,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,32
fake_almaden,8,5,0.50000099999949999900000000000000000000000000000000000000000000000000000000000000,171
fake_almaden,8,6,0.50000150000049999849999900000000000000000000000000000000000000000000000000000000,881
fake_almaden,8,7,0.97536481175966980116021301869130932905484000000000000000000000000000000000000000,4419
fake_boeblingen,0,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,31
fake_boeblingen,0,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,169
fake_boeblingen,0,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,870
fake_boeblingen,0,7,0.96692655277200742802460363121265859063040000000000000000000000000000000000000000,4398
fake_boeblingen,1,4,0.50000000000000000000000000000000000000000000000000000000000000000000000000000000,32
fake_boeblingen,1,5,0.50000049999899999900000050000050000000000000000000000000000000000000000000000000,168
fake_boeblingen,1,6,0.50000099999949999799999950000100000050000000000000000000000000000000000000000000,871
fake_boeblingen,1,7,0.98089564834091707256196956285314166718720000000000000000000000000000000000000000,4354
fake_boeblingen,2,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,31
fake_boeblingen,2,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,167
fake_boeblingen,2,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,858
fake_boeblingen,2,7,0.96482554327819696836222724115507274461880000000000000000000000000000000000000000,4368
fake_boeblingen,3,4,0.50000100000050000000000000000000000000000000000000000000000000000000000000000000,33
fake_boeblingen,3,5,0.50000200000150000000000000000000000000000000000000000000000000000000000000000000,174
fake_boeblingen,3,6,0.50000250000350000150000000000000000000000000000000000000000000000000000000000000,887
fake_boeblingen,3,7,0.96581394985225993556142889004617816000000000000000000000000000000000000000000000,4760
fake_boeblingen,4,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,34
fake_boeblingen,4,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,181
fake_boeblingen,4,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,927
fake_boeblingen,4,7,0.96735573797430660920648948535596000000000000000000000000000000000000000000000000,4862
fake_boeblingen,5,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,37
fake_boeblingen,5,5,0.50000250000500000500000250000050000000000000000000000000000000000000000000000000,195
fake_boeblingen,5,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1002
fake_boeblingen,5,7,0.96543980069083645562197076728874652160000000000000000000000000000000000000000000,5066
fake_boeblingen,6,4,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,36
fake_boeblingen,6,5,0.50000200000300000200000050000000000000000000000000000000000000000000000000000000,194
fake_boeblingen,6,6,0.50000300000750001000000750000300000050000000000000000000000000000000000000000000,1005
fake_boeblingen,6,7,0.96733437486796952089304281715712000000000000000000000000000000000000000000000000,5078
fake_johannesburg,0,4,0.50000600002700005400004050000000000000000000000000000000000000000000000000000000,36
fake_johannesburg,0,5,0.50000750004500013500020250012150000000000000000000000000000000000000000000000000,194
