backend,embedding,time
TENERIFE,0,24.078330993652344
TENERIFE,1,23.57865285873413
ATHENS,0,22.949081897735596
ATHENS,1,20.435280323028564
ATHENS,2,20.5970721244812
BELEM,0,20.45380210876465
BELEM,1,20.42179298400879
BELEM,2,20.699416875839233
BOGOTA,0,20.849946975708008
BOGOTA,1,23.393659114837646
BOGOTA,2,21.207973957061768
BURLINGTON,0,22.452013969421387
BURLINGTON,1,19.913132190704346
BURLINGTON,2,19.99670696258545
ESSEX,0,20.14805293083191
ESSEX,1,20.173346996307373
ESSEX,2,19.85341787338257
LIMA,0,20.799771070480347
LIMA,1,20.18404722213745
LIMA,2,20.83044409751892
LONDON,0,19.81177282333374
LONDON,1,19.643165826797485
LONDON,2,19.998141288757324
MANILA,0,20.266618728637695
MANILA,1,20.40159296989441
MANILA,2,20.876168966293335
OURENSE,0,20.5368971824646
OURENSE,1,20.51222515106201
OURENSE,2,20.740298986434937
QUITO,0,20.363993167877197
QUITO,1,20.292423963546753
QUITO,2,20.41243600845337
ROME,0,20.281676054000854
ROME,1,20.483879804611206
ROME,2,20.362250089645386
SANTIAGO,0,23.01938486099243
SANTIAGO,1,28.232851028442383
SANTIAGO,2,25.590983867645264
VIGO,0,21.96638798713684
VIGO,1,20.23692297935486
VIGO,2,20.516222953796387
YORKTOWN,0,20.751890182495117
YORKTOWN,1,20.29561996459961
YORKTOWN,2,23.7959201335907
YORKTOWN,3,20.651406049728394
YORKTOWN,4,20.583220958709717
YORKTOWN,5,20.571478843688965
