hardware,embedding,horizon,lambda,time
fake_auckland,0,4,0.85710629178098062870600000000000000000000000000000000000000000000000000000000000,17
fake_auckland,0,5,0.85710629178098062870600000000000000000000000000000000000000000000000000000000000,77
fake_auckland,0,6,0.94076956096433004140892732700000000000000000000000000000000000000000000000000000,337
fake_auckland,0,7,0.94076956096433004140892732700000000000000000000000000000000000000000000000000000,1473
fake_auckland,1,4,0.98665120080104389167600000000000000000000000000000000000000000000000000000000000,17
fake_auckland,1,5,0.98665120398055753262646144000000000000000000000000000000000000000000000000000000,77
fake_auckland,1,6,0.99284048560254035004430814208000000000000000000000000000000000000000000000000000,338
fake_auckland,1,7,0.99284048566319631331435700902625280000000000000000000000000000000000000000000000,1473
fake_cairo,0,4,0.98375740020353461296000000000000000000000000000000000000000000000000000000000000,17
fake_cairo,0,5,0.98375838396093481649461296000000000000000000000000000000000000000000000000000000,76
fake_cairo,0,6,0.99295636186167220810897121280000000000000000000000000000000000000000000000000000,339
fake_cairo,0,7,0.99295735481803406978117932177121280000000000000000000000000000000000000000000000,1475
fake_cairo,1,4,0.96750399861422154375000000000000000000000000000000000000000000000000000000000000,17
fake_cairo,1,5,0.97133751090283356040875000000000000000000000000000000000000000000000000000000000,76
fake_cairo,1,6,0.97441677497364617667767550000000000000000000000000000000000000000000000000000000,338
fake_cairo,1,7,0.97458760256818688146369672035000000000000000000000000000000000000000000000000000,1474
fake_cairo,2,4,0.97228622807158486500720000000000000000000000000000000000000000000000000000000000,17
fake_cairo,2,5,0.97615897682208876088513652000000000000000000000000000000000000000000000000000000,76
fake_cairo,2,6,0.97926975279526723253088059313600000000000000000000000000000000000000000000000000,338
fake_cairo,2,7,0.97944232877262270368771515868252640000000000000000000000000000000000000000000000,1473
fake_cairo,3,4,0.98162926192658096346720000000000000000000000000000000000000000000000000000000000,17
fake_cairo,3,5,0.98249620248102581122378796000000000000000000000000000000000000000000000000000000,77
fake_cairo,3,6,0.98727664815446971385632647374400000000000000000000000000000000000000000000000000,337
fake_cairo,3,7,0.98730715251716213391319755014318880000000000000000000000000000000000000000000000,1473
fake_cairo,4,4,0.98449283249224386528720000000000000000000000000000000000000000000000000000000000,17
fake_cairo,4,5,0.98594631307460659687472208000000000000000000000000000000000000000000000000000000,77
fake_cairo,4,6,0.98997802568779481710131589766400000000000000000000000000000000000000000000000000,338
fake_cairo,4,7,0.99002743171537476714761642676839040000000000000000000000000000000000000000000000,1473
fake_cairo,5,4,0.88617252336565459914960000000000000000000000000000000000000000000000000000000000,17
fake_cairo,5,5,0.89049759967207722039434112000000000000000000000000000000000000000000000000000000,77
fake_cairo,5,6,0.95953354252379908427336843059200000000000000000000000000000000000000000000000000,338
fake_cairo,5,7,0.96200008685825904585035521768488960000000000000000000000000000000000000000000000,1473
fake_cairo,6,4,0.88724711616846497203200000000000000000000000000000000000000000000000000000000000,17
fake_cairo,6,5,0.89158424471439653491875840000000000000000000000000000000000000000000000000000000,77
fake_cairo,6,6,0.96081256058984969157524127744000000000000000000000000000000000000000000000000000,338
fake_cairo,6,7,0.96328597814869386281992196928307200000000000000000000000000000000000000000000000,1472
fake_cairo,7,4,0.97360147361659512084480000000000000000000000000000000000000000000000000000000000,17
fake_cairo,7,5,0.98061078282613552863330304000000000000000000000000000000000000000000000000000000,77
fake_cairo,7,6,0.98909155442362685975846603980800000000000000000000000000000000000000000000000000,337
fake_cairo,7,7,0.98978391996872684215899879309312000000000000000000000000000000000000000000000000,1473
fake_cairo,8,4,0.95558088080536826595840000000000000000000000000000000000000000000000000000000000,17
fake_cairo,8,5,0.96177678274912807437346944000000000000000000000000000000000000000000000000000000,77
fake_cairo,8,6,0.96518875154508728746432940851200000000000000000000000000000000000000000000000000,337
fake_cairo,8,7,0.96558419075666485122416135563591680000000000000000000000000000000000000000000000,1473
fake_cairo,9,4,0.95895814084957223426320000000000000000000000000000000000000000000000000000000000,17
fake_cairo,9,5,0.96519995992995074624328512000000000000000000000000000000000000000000000000000000,76
fake_cairo,9,6,0.96863721448273333843273694617600000000000000000000000000000000000000000000000000,338
fake_cairo,9,7,0.96903558425086431280422006378864640000000000000000000000000000000000000000000000,1472
fake_geneva,0,4,0.84251442257637828620080000000000000000000000000000000000000000000000000000000000,17
fake_geneva,0,5,0.84251442257637828620080000000000000000000000000000000000000000000000000000000000,76
fake_geneva,0,6,0.92568057632762343862005154566400000000000000000000000000000000000000000000000000,338
fake_geneva,0,7,0.92568057632762343862005154566400000000000000000000000000000000000000000000000000,1478
fake_geneva,1,4,0.96030804813984578859750000000000000000000000000000000000000000000000000000000000,17
fake_geneva,1,5,0.96030900844789392844328859750000000000000000000000000000000000000000000000000000,77
fake_geneva,1,6,0.97283724855347002789202520420000000000000000000000000000000000000000000000000000,338
fake_geneva,1,7,0.97283822139071858136205309622520420000000000000000000000000000000000000000000000,1480
fake_geneva,2,4,0.96977378851042104455040000000000000000000000000000000000000000000000000000000000,17
fake_geneva,2,5,0.96977378851042104455040000000000000000000000000000000000000000000000000000000000,76
fake_geneva,2,6,0.98256065846139359709254268364800000000000000000000000000000000000000000000000000,338
fake_geneva,2,7,0.98256065846139359709254268364800000000000000000000000000000000000000000000000000,1481
fake_hanoi,0,4,0.94687642770139126934200000000000000000000000000000000000000000000000000000000000,17
fake_hanoi,0,5,0.95581390534325635844701584000000000000000000000000000000000000000000000000000000,77
fake_hanoi,0,6,0.97496174608182529713226101184000000000000000000000000000000000000000000000000000,338
fake_hanoi,0,7,0.97665758878865172984824568487928320000000000000000000000000000000000000000000000,1473
fake_hanoi,1,4,0.95776419422451047141120000000000000000000000000000000000000000000000000000000000,17
fake_hanoi,1,5,0.96691948902110159291942400000000000000000000000000000000000000000000000000000000,76
fake_hanoi,1,6,0.98653389343913153295860194918400000000000000000000000000000000000000000000000000,338
fake_hanoi,1,7,0.98827106311493181472139549333504000000000000000000000000000000000000000000000000,1473
fake_hanoi,2,4,0.98387899081881254005320000000000000000000000000000000000000000000000000000000000,17
fake_hanoi,2,5,0.98591129306259692328767052000000000000000000000000000000000000000000000000000000,76
fake_hanoi,2,6,0.98992467523919914909962753384000000000000000000000000000000000000000000000000000,338
fake_hanoi,2,7,0.99000095846458562744062998377135520000000000000000000000000000000000000000000000,1472
fake_hanoi,3,4,0.98523020423478118801120000000000000000000000000000000000000000000000000000000000,16
fake_hanoi,3,5,0.98726818367490425721334120000000000000000000000000000000000000000000000000000000,77
fake_hanoi,3,6,0.99129277717884441450572290364800000000000000000000000000000000000000000000000000,338
fake_hanoi,3,7,0.99136927350006639621491451199637440000000000000000000000000000000000000000000000,1472
fake_hanoi,4,4,0.90743935893316508604240000000000000000000000000000000000000000000000000000000000,17
fake_hanoi,4,5,0.91461029165039759155674624000000000000000000000000000000000000000000000000000000,77
fake_hanoi,4,6,0.96599038311600435519231276691200000000000000000000000000000000000000000000000000,338
fake_hanoi,4,7,0.96908854099721373842615253267886080000000000000000000000000000000000000000000000,1472
fake_hanoi,5,4,0.91190766528434579205870000000000000000000000000000000000000000000000000000000000,17
fake_hanoi,5,5,0.91915719091221331589397642000000000000000000000000000000000000000000000000000000,77
fake_hanoi,5,6,0.97110069598678873975605161229600000000000000000000000000000000000000000000000000,338
fake_hanoi,5,7,0.97423281715212313906077964708658640000000000000000000000000000000000000000000000,1472
fake_hanoi,6,4,0.91576552106218982653000000000000000000000000000000000000000000000000000000000000,17
fake_hanoi,6,5,0.91584864186761006573530600000000000000000000000000000000000000000000000000000000,77
fake_hanoi,6,6,0.96939714553517787635514828880000000000000000000000000000000000000000000000000000,337
fake_hanoi,6,7,0.96942931827994979672974285681000000000000000000000000000000000000000000000000000,1473
fake_kolkata,0,4,0.96880530947244790296540000000000000000000000000000000000000000000000000000000000,17
fake_kolkata,0,5,0.97039924144584436233312468000000000000000000000000000000000000000000000000000000,76
fake_kolkata,0,6,0.98816338165998662337160236072000000000000000000000000000000000000000000000000000,338
fake_kolkata,0,7,0.98836088863808764855792836906229920000000000000000000000000000000000000000000000,1472
fake_kolkata,1,4,0.96913325799697161751920000000000000000000000000000000000000000000000000000000000,17
